t,med_1424,med_1408,med_1422,med_1378
230,59.77619934,59.76729965,59.92380142,59.77939987
230.1,59.75839996,59.76929855,59.90729904,59.77890015
230.2,59.77659988,59.77140045,59.88819885,59.77569962
230.3,59.77880096,59.77470016,59.8689003,59.77149963
230.4,59.78509903,59.78120041,59.84880066,59.76929855
230.5,59.78820038,59.78210068,59.82839966,59.76789856
230.6,59.79270172,59.79050064,59.81060028,59.76940155
230.7,59.80500031,59.79930115,59.79470062,59.77270126
230.8,59.80709839,59.80690002,59.7818985,59.77819824
230.9,59.82569885,59.81380081,59.77109909,59.7867012
231,59.82049942,59.81389999,59.76190186,59.79930115
231.1,59.82519913,59.81800079,59.75559998,59.81240082
231.2,59.82920074,59.82320023,59.74890137,59.82789993
231.3,59.8362999,59.82789993,59.74380112,59.84270096
231.4,59.81600189,59.8307991,59.73709869,59.8567009
231.5,59.81309891,59.82580185,59.73020172,59.86700058
231.6,59.81560135,59.82189941,59.72480011,59.87200165
231.7,59.81200027,59.82310104,59.71549988,59.86790085
231.8,59.81679916,59.82329941,59.71609879,59.86220169
231.9,59.80279922,59.81809998,59.71780014,59.85070038
232,59.81029892,59.80979919,59.7242012,59.83670044
232.1,59.80860138,59.80170059,59.73329926,59.82080078
232.2,59.77780151,59.79779816,59.74489975,59.80239868
232.3,59.80149841,59.79570007,59.76210022,59.78649902
232.4,59.79079819,59.79199982,59.77949905,59.77130127
232.5,59.78409958,59.7818985,59.79880142,59.75859833
232.6,59.78590012,59.77470016,59.81819916,59.74649811
232.7,59.76399994,59.77230072,59.83940125,59.74039841
232.8,59.77310181,59.76919937,59.85620117,59.73630142
232.9,59.77750015,59.76760101,59.8669014,59.73749924
233,59.76620102,59.76089859,59.87390137,59.73910141
233.1,59.75849915,59.75540161,59.87490082,59.74399948
233.2,59.7621994,59.75310135,59.87210083,59.75090027
233.3,59.74890137,59.75170135,59.86500168,59.75370026
233.4,59.75180054,59.75579834,59.85290146,59.75930023
233.5,59.75740051,59.75559998,59.84009933,59.76160049
233.6,59.75899887,59.75460052,59.82540131,59.76340103
233.7,59.76070023,59.75859833,59.80929947,59.76369858
233.8,59.76169968,59.76449966,59.79529953,59.76459885
233.9,59.77109909,59.77410126,59.78070068,59.7641983
234,59.77970123,59.78269958,59.76860046,59.76869965
234.1,59.78310013,59.78279877,59.76039886,59.76919937
234.2,59.79449844,59.78950119,59.75270081,59.77270126
234.3,59.81219864,59.79489899,59.74629974,59.78129959
234.4,59.79320145,59.80279922,59.74309921,59.79000092
234.5,59.8117981,59.80659866,59.73989868,59.79880142
234.6,59.80220032,59.80519867,59.73989868,59.8103981
234.7,59.80989838,59.80690002,59.73970032,59.82109833
234.8,59.79990005,59.80709839,59.7397995,59.83039856
234.9,59.79370117,59.81060028,59.73929977,59.83390045
235,59.80490112,59.80720139,59.73960114,59.83800125
235.1,59.7983017,59.8030014,59.74000168,59.83319855
235.2,59.79660034,59.79579926,59.7419014,59.82759857
235.3,59.78540039,59.79150009,59.7466011,59.81669998
235.4,59.79140091,59.79019928,59.75320053,59.80630112
235.5,59.78850174,59.78839874,59.76300049,59.7942009
235.6,59.77890015,59.78319931,59.7737999,59.77949905
235.7,59.78590012,59.77780151,59.78570175,59.76710129
235.8,59.78300095,59.77470016,59.80039978,59.75640106
235.9,59.79130173,59.7765007,59.81399918,59.74760056
236,59.7663002,59.77550125,59.82690048,59.74340057
236.1,59.7804985,59.77360153,59.83980179,59.74150085
236.2,59.78369904,59.77059937,59.84949875,59.74359894
236.3,59.76539993,59.76449966,59.86019897,59.74769974
236.4,59.76520157,59.76819992,59.85079956,59.75600052
236.5,59.75680161,59.77080154,59.8465004,59.76380157
236.6,59.7784996,59.77069855,59.84130096,59.77030182
236.7,59.76649857,59.76979828,59.82939911,59.77809906
236.8,59.75870132,59.76900101,59.81710052,59.78300095
236.9,59.77539825,59.770401,59.80350113,59.78699875
237,59.7779007,59.77740097,59.78929901,59.78910065
237.1,59.78820038,59.77999878,59.77690125,59.78749847
237.2,59.78910065,59.7845993,59.76509857,59.78699875
237.3,59.78329849,59.78310013,59.75740051,59.78609848
237.4,59.79109955,59.79130173,59.75099945,59.78530121
237.5,59.79970169,59.79660034,59.74919891,59.78730011
