t,s1,s5
0,1.857029419,0.287549492
0.033333,1.857066437,0.287536443
0.066666,1.856675485,0.2874427
0.099999,1.856360699,0.287121789
0.133332,1.8561575,0.286900214
0.166665,1.855913022,0.286869055
0.199998,1.855704097,0.286580102
0.233331,1.855752966,0.286485293
0.266664,1.855655361,0.286565454
0.299997,1.855373865,0.286294345
0.33333,1.855360948,0.286212053
0.366663,1.855307685,0.285977961
0.399996,1.854959477,0.285792871
0.433329,1.854806744,0.28549726
0.466662,1.854585036,0.285209905
0.499995,1.854472651,0.285041727
0.533328,1.854371318,0.28463626
0.566661,1.854301809,0.284327733
0.599994,1.854250676,0.284161153
0.633327,1.854210329,0.283882719
0.66666,1.853989687,0.283505482
0.699993,1.853909126,0.283536508
0.733326,1.853935092,0.283412804
0.766659,1.853915384,0.283337703
0.799992,1.854171048,0.283510276
0.833325,1.854417923,0.283688974
0.866658,1.854385033,0.283546761
0.899991,1.854488497,0.283816806
0.933324,1.854655876,0.284037582
0.966657,1.854932179,0.284145174
0.99999,1.855151224,0.284291914
1.033323,1.855182516,0.284334524
1.066656,1.855583322,0.284797914
1.099989,1.855778665,0.284983004
1.133322,1.855867481,0.28510764
1.166655,1.856011825,0.285199253
1.199988,1.856529144,0.285526023
1.233321,1.856522752,0.285473292
1.266654,1.856786272,0.285811247
1.299987,1.85684859,0.285959852
1.33332,1.856888005,0.28590286
1.366653,1.857001455,0.286054394
1.399986,1.857101058,0.286070373
1.433319,1.857273631,0.286035485
1.466652,1.857482156,0.286067976
1.499985,1.857536085,0.286229097
1.533318,1.857580427,0.286134821
1.566651,1.857640747,0.286214716
1.599984,1.857865784,0.286129495
1.633317,1.857819312,0.285881821
1.66665,1.857905066,0.285821101
1.699983,1.857990021,0.285802459
1.733316,1.858136495,0.285687943
1.766649,1.858225844,0.285625092
1.799982,1.858238227,0.285651191
1.833315,1.858244619,0.285512707
1.866648,1.858268588,0.285604852
1.899981,1.858138226,0.285459177
1.933314,1.85811985,0.285385408
1.966647,1.857977637,0.285236004
1.99998,1.858028903,0.285186203
2.033313,1.858055135,0.285189932
2.066646,1.857616379,0.284874081
2.099979,1.857925306,0.285187002
2.133312,1.85791745,0.285400321
2.166645,1.857759125,0.285356912
2.199978,1.85773489,0.285328682
2.233311,1.857808793,0.285650392
2.266644,1.857698405,0.285824829
2.299977,1.85779348,0.286094341
2.33331,1.85786432,0.28646239
2.366643,1.857870978,0.286519382
2.399976,1.858060595,0.286908203
2.433309,1.858188293,0.28734869
2.466642,1.858223047,0.287460276
2.499975,1.858167787,0.287723663
2.533308,1.858112926,0.288075999
2.566641,1.858442359,0.288556966
2.599974,1.858648754,0.289007307
2.633307,1.858965803,0.289349257
2.66664,1.859268871,0.289834751
2.699973,1.859374465,0.290156727
2.733306,1.8595003,0.290487225
2.766639,1.859707627,0.290715991
2.799972,1.859808161,0.290935968
2.833305,1.859980467,0.291075518
2.866638,1.860189792,0.291412141
2.899971,1.860426813,0.291452355
2.933304,1.86066197,0.291583915
2.966637,1.860767698,0.291476856
2.99997,1.860900323,0.291434512
3.033303,1.861245868,0.291419598
3.066636,1.861406058,0.291416669
3.099969,1.861720311,0.291482182
3.133302,1.861609923,0.290958605
3.166635,1.86192564,0.290888297
3.199968,1.862163461,0.290758335
3.233301,1.862051342,0.290444348
3.266634,1.862020449,0.290106926
3.299967,1.862224447,0.28998522
3.3333,1.862305274,0.289960452
3.366633,1.862410336,0.289785216
3.399966,1.862534439,0.289629954
3.433299,1.86280688,0.289706387
3.466632,1.862937109,0.289951397
3.499965,1.863163744,0.290065913
3.533298,1.863269338,0.289922103
3.566631,1.862920864,0.289508247
3.599964,1.862913407,0.289380416
3.633297,1.863154157,0.289444065
3.66663,1.863108883,0.289486143
3.699963,1.863139642,0.289484812
3.733296,1.863155754,0.28940465
3.766629,1.863000758,0.289213169
3.799962,1.862884645,0.289100784
3.833295,1.862677318,0.288811298
3.866628,1.862675054,0.288815559
3.899961,1.86272845,0.28892608
3.933294,1.862596491,0.288685863
3.966627,1.862189693,0.288443249
3.99996,1.862071315,0.288190249
4.033293,1.86169075,0.287950032
4.066626,1.861582758,0.287857886
4.099959,1.861341343,0.287841907
4.133292,1.861005784,0.287402752
4.166625,1.861004719,0.287481582
4.199958,1.860720693,0.287305281
4.233291,1.860558373,0.28702991
4.266624,1.860245718,0.286914595
4.299957,1.86003959,0.28664455
4.33329,1.859990854,0.286359858
4.366623,1.859792981,0.286263452
4.399956,1.859732394,0.286232826
4.433289,1.859517211,0.285897001
4.466622,1.859436916,0.285735347
4.499955,1.859302959,0.285596064
4.533288,1.859374998,0.285701525
4.566621,1.859271001,0.285457846
4.599954,1.859312547,0.285580884
4.633287,1.859148496,0.285414702
4.66662,1.858825721,0.285189399
4.699953,1.858828384,0.285194193
4.733286,1.858765001,0.285273289
4.766619,1.858632375,0.28527968
4.799952,1.858458071,0.28525731
4.833285,1.858061527,0.285002978
4.866618,1.858126375,0.285148919
4.899951,1.858264992,0.285600325
4.933284,1.858399748,0.285747331
4.966617,1.858243021,0.285698063
4.99995,1.857998277,0.285636011
5.033283,1.857859126,0.285685812
5.066616,1.857824905,0.285699661
5.099949,1.857685888,0.28581391
5.133282,1.857545672,0.285774762
5.166615,1.857396003,0.285854124
5.199948,1.857422235,0.285712976
5.233281,1.857238743,0.285535344
5.266614,1.856956581,0.285463971
5.299947,1.857051789,0.285551056
5.33328,1.857024092,0.285526822
5.366613,1.85681823,0.285443465
5.399946,1.856867498,0.285458911
5.433279,1.857187877,0.285620565
5.466612,1.856971495,0.28552549
5.499945,1.8569928,0.285618967
5.533278,1.857265108,0.285760647
5.566611,1.857207051,0.285788877
5.599944,1.857178289,0.285731885
5.633277,1.857332886,0.285985152
5.66661,1.857442608,0.286014713
5.699943,1.857505059,0.28605972
5.733276,1.857888155,0.286492484
5.766609,1.858185497,0.286807003
5.799942,1.858368456,0.286949749
5.833275,1.858562734,0.287137768
5.866608,1.85880628,0.287378517
5.899941,1.859217072,0.287828325
5.933274,1.859597505,0.288110887
5.966607,1.859948776,0.2882784
5.99994,1.860241324,0.288582533
6.033273,1.860731479,0.289050716
6.066606,1.861161579,0.289313837
6.099939,1.861379692,0.289560179
6.133272,1.861584623,0.289531417
6.166605,1.861838821,0.289566837
6.199938,1.862299149,0.289772966
6.233271,1.862559206,0.289830756
6.266604,1.862839904,0.290003063
6.299937,1.863289312,0.29017963
6.33327,1.863294771,0.290131161
6.366603,1.86352114,0.290115448
6.399936,1.864023679,0.290198272
6.433269,1.864100378,0.290158858
6.466602,1.864380542,0.290343148
6.499935,1.864435137,0.290301337
6.533268,1.865319306,0.290963132
6.566601,1.872962579,0.298505471
6.599934,1.882725994,0.308069681
6.633267,1.888243797,0.31340639
6.6666,1.894262808,0.319303694
6.699933,1.901857344,0.326636708
6.733266,1.910702501,0.335350837
6.766599,1.921010399,0.345269781
6.799932,1.932105794,0.355790066
6.833265,1.94369414,0.366989191
6.866598,1.95582151,0.378625341
6.899931,1.968202812,0.390479071
6.933264,1.980514473,0.401839051
6.966597,1.992593506,0.413030186
6.99993,2.00461861,0.423904139
7.033263,2.016318809,0.434449991
7.066596,2.022874313,0.439709201
7.099929,2.02429977,0.439799749
7.133262,2.028527139,0.442608851
7.166595,2.032591389,0.444937519
7.199928,2.034949618,0.445591858
7.233261,2.035969875,0.444877598
7.266594,2.035541107,0.442654924
7.299927,2.033392202,0.438607984
7.33326,2.030114649,0.433663559
7.366593,2.02597157,0.427568116
7.399926,2.020428599,0.420415132
7.433259,2.013046184,0.412818731
7.466592,2.007704682,0.405023392
7.499925,2.000521603,0.397026718
7.533258,1.993224409,0.388767723
7.566591,1.985636131,0.380485559
7.599924,1.977427203,0.372072899
7.633257,1.969302165,0.364050126
7.66659,1.961021332,0.356223096
7.699923,1.952405739,0.348601928
7.733256,1.944431836,0.34175281
7.766589,1.936512127,0.33548506
7.799922,1.928504934,0.329501204
7.833255,1.920563388,0.323978607
7.866588,1.912861259,0.31884776
7.899921,1.905351145,0.314194419
7.933254,1.898057546,0.310015919
7.966587,1.890549029,0.305487214
7.99992,1.88294384,0.301025087
8.033253,1.875562623,0.296807173
